epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1630.17,2.74994,0.68006,0.95123,1.01484,0.00333257,0.00333257,0.00333257
2,3260.27,1.15143,0.90502,0.9955,0.29815,0.00653392,0.00653392,0.00653392
3,4892.87,0.80191,0.93114,0.99818,0.20788,0.00960327,0.00960327,0.00960327
4,6541.69,0.55369,0.97086,0.99858,0.08912,0.009406,0.009406,0.009406
5,8200.22,0.35815,0.98236,0.99966,0.0561,0.009208,0.009208,0.009208
6,9862.4,0.28029,0.98577,0.99994,0.04151,0.00901,0.00901,0.00901
7,11533.9,0.23806,0.98959,1,0.03137,0.008812,0.008812,0.008812
8,13191.9,0.20723,0.99015,1,0.02922,0.008614,0.008614,0.008614
9,14840,0.18171,0.9922,1,0.02369,0.008416,0.008416,0.008416
10,16494.1,0.17327,0.99272,1,0.02151,0.008218,0.008218,0.008218
11,18137.1,0.15874,0.99306,1,0.02052,0.00802,0.00802,0.00802
12,19797.8,0.14381,0.99391,1,0.01863,0.007822,0.007822,0.007822
13,21451.5,0.14166,0.99402,1,0.01774,0.007624,0.007624,0.007624
14,23125.7,0.13206,0.99397,1,0.01735,0.007426,0.007426,0.007426
15,24778.8,0.12562,0.99408,1,0.01701,0.007228,0.007228,0.007228
16,26440.2,0.11938,0.99431,1,0.01671,0.00703,0.00703,0.00703
17,28117.8,0.11293,0.99425,1,0.01644,0.006832,0.006832,0.006832
18,29783.6,0.10757,0.99442,1,0.01609,0.006634,0.006634,0.006634
19,31487.8,0.1033,0.99442,1,0.01574,0.006436,0.006436,0.006436
20,33143.7,0.09792,0.99471,1,0.01544,0.006238,0.006238,0.006238
21,34824.8,0.09536,0.99476,1,0.01506,0.00604,0.00604,0.00604
22,36489.6,0.0938,0.99488,1,0.01485,0.005842,0.005842,0.005842
23,38181.5,0.08941,0.99499,1,0.01464,0.005644,0.005644,0.005644
24,39849,0.08332,0.99511,1,0.01432,0.005446,0.005446,0.005446
25,41510,0.08287,0.99528,1,0.01399,0.005248,0.005248,0.005248
26,1691.12,0.07039,0.99528,1,0.01351,0.00505,0.00505,0.00505
27,3394.86,0.07756,0.99545,1,0.01306,0.004852,0.004852,0.004852
28,5108.36,0.07571,0.99562,1,0.01256,0.004654,0.004654,0.004654
29,6831.72,0.07041,0.99573,1,0.01217,0.004456,0.004456,0.004456
30,8572.21,0.07092,0.99579,1,0.01193,0.004258,0.004258,0.004258
31,10323,0.06755,0.99585,1,0.01161,0.00406,0.00406,0.00406
32,12084,0.06508,0.99602,1,0.01137,0.003862,0.003862,0.003862
33,13826.9,0.06153,0.9963,1,0.01115,0.003664,0.003664,0.003664
34,15564.8,0.05625,0.99636,1,0.01094,0.003466,0.003466,0.003466
35,17302.5,0.05531,0.99647,1,0.01067,0.003268,0.003268,0.003268
36,19042.7,0.05039,0.99653,1,0.01063,0.00307,0.00307,0.00307
37,20803.3,0.04922,0.99659,1,0.01017,0.002872,0.002872,0.002872
38,22565.5,0.04738,0.99676,1,0.00998,0.002674,0.002674,0.002674
39,24328.1,0.04423,0.99681,1,0.00984,0.002476,0.002476,0.002476
40,26089.3,0.04013,0.99681,1,0.00964,0.002278,0.002278,0.002278
41,27781,0.03797,0.99687,1,0.00943,0.00208,0.00208,0.00208
42,29465.5,0.03614,0.99693,1,0.00916,0.001882,0.001882,0.001882
43,31151.1,0.03323,0.99698,1,0.00886,0.001684,0.001684,0.001684
44,32837.2,0.02857,0.99715,1,0.00863,0.001486,0.001486,0.001486
45,34514.4,0.02793,0.99721,1,0.00826,0.001288,0.001288,0.001288
46,36198.7,0.02407,0.99733,1,0.00798,0.00109,0.00109,0.00109
47,37896.6,0.02217,0.99744,0.99994,0.00771,0.000892,0.000892,0.000892
48,39591.3,0.02018,0.99767,0.99994,0.00734,0.000694,0.000694,0.000694
49,41289.5,0.0193,0.99772,0.99994,0.007,0.000496,0.000496,0.000496
50,1675.01,0.01573,0.99795,0.99994,0.0067,0.000298,0.000298,0.000298
